Revenue CM Temp Firework
47.1434670826641 141 31 2
36.9236260728236 144 23 1
38.9210161755638 155 32 0
40.4643357336336 130 28 0
51.6078329207672 161 37 0
32.8787484502525 154 27 0
39.7584900592028 140 35 0
49.5431899277639 142 28 2
37.2195959045283 161 24 1
29.9333382191592 139 22 0
42.365203199457 153 36 0
32.6886457965983 158 25 0
47.5892599668785 139 32 0
36.4850906614584 148 32 0
44.5942356098919 132 30 2
43.3157079948794 136 28 1
49.6408585048596 139 33 0
40.4242213528013 155 29 0
42.0834483299029 163 24 0
38.547385279132 161 28 0
39.8619392189581 139 26 0
47.615197722853 144 30 2
57.8834514814259 145 38 1
38.0872433199292 146 29 0
41.9477150324701 149 30 0
40.4208548316442 147 33 0
40.4419608438806 141 30 0
37.172476604419 146 28 0
43.4806580059465 162 33 2
50.3279517397977 162 35 1
