books cloths cosmetics foods liquors
43 0 3 4 10
25 5 5 3 11
19 0 2 3 8
31 3 3 4 5
46 9 2 5 7
28 3 7 4 0
45 14 2 1 12
9 22 3 7 2
47 3 10 3 0
46 3 1 2 2
31 26 4 8 9
36 22 5 5 15
28 12 3 6 4
33 1 5 3 4
28 1 3 0 9
16 27 9 3 15
8 25 3 5 0
9 16 5 3 8
13 4 6 4 2
30 21 6 8 10
24 0 3 6 8
46 8 4 5 3
16 17 7 5 10
36 0 4 3 14
0 20 3 6 0
50 3 4 4 6
45 12 6 5 8
36 10 5 4 6
22 5 3 3 3
52 18 4 3 2
39 12 6 4 2
31 5 4 1 6
0 0 8 4 10
16 9 8 2 12
20 1 7 4 0
47 5 7 6 1
41 18 7 7 6
27 9 6 2 8
33 19 3 12 10
38 18 5 8 11
18 15 5 5 11
30 12 5 3 1
26 7 4 4 10
32 16 6 4 5
56 6 4 9 5
24 22 5 9 10
28 21 6 3 5
29 21 3 3 3
34 10 0 9 1
34 19 3 5 4
25 12 9 6 9
26 10 9 7 4
60 6 1 5 1
41 15 5 3 3
32 12 4 2 5
48 13 4 11 3
25 3 6 5 3
31 12 2 2 0
28 14 5 9 11
20 0 6 5 0
8 12 4 4 4
20 9 6 4 12
9 18 6 3 9
3 11 4 4 5
15 11 7 1 13
42 15 4 1 6
13 2 4 6 1
3 8 4 3 10
32 9 4 10 2
49 12 5 1 13
10 18 3 6 9
48 11 7 5 0
31 11 4 5 5
0 2 6 6 11
38 12 5 4 8
51 9 5 6 1
32 3 6 5 15
54 15 2 6 6
29 11 2 5 12
25 6 7 8 4
15 16 6 5 8
39 16 5 6 8
28 20 3 9 6
39 24 4 2 9
38 20 2 9 6
47 10 7 10 1
19 7 6 9 7
4 10 6 7 12
34 16 5 6 0
49 14 8 9 4
39 6 2 7 7
34 16 5 5 4
38 8 10 6 1
72 20 4 5 11
43 4 3 5 6
37 3 4 3 0
32 20 3 2 5
27 8 0 6 5
5 22 4 2 7
44 16 3 1 4
