d11 d12 d13 cvr
4400 5600 2300 0.94
3000 3900 3900 0.05
2700 3900 5400 0.01
4400 4300 3700 0.88
3000 5200 3600 0.27
2800 4100 4500 0.83
3000 4800 3200 0.5
5500 3700 4700 0.96
3600 3700 4000 0.92
2800 4000 4800 0.01
3300 4800 5100 0.1
3500 6800 4400 0.01
4000 5800 5000 0.99
2800 4700 3200 0.35
3800 6100 2900 0.77
4900 4200 3800 0.97
1300 6100 3200 0
2700 5100 4200 0.07
3700 3900 3700 0.69
4400 4700 3300 0.99
4900 4500 5200 1
4500 4100 5700 0.98
2900 4800 3900 0.2
4200 4400 4500 0.6
3700 3800 5400 0.02
2200 4900 3800 0.03
2700 5500 3100 0
1900 7100 3900 0
2800 2400 4900 0.14
4700 5700 4700 0.99
