d21 d22 d23 d24 d25 d26 cv
1 0 1 1 0 1 1
0 1 0 1 1 0 0
1 0 1 0 1 1 1
0 1 0 0 1 0 0
1 0 0 1 1 1 1
1 0 0 1 0 1 1
1 0 1 1 0 1 1
0 1 0 0 1 0 0
0 0 0 0 1 0 0
0 1 0 0 1 0 0
0 1 0 0 1 0 0
0 1 1 0 1 0 0
0 1 1 0 0 0 0
1 0 1 1 1 1 1
0 1 1 1 0 0 0
1 0 0 1 0 1 1
0 1 1 0 0 0 1
1 0 1 1 0 1 1
1 1 1 0 0 0 0
1 0 0 1 1 0 1
1 1 0 0 0 0 0
1 0 0 1 1 1 1
1 0 1 1 1 0 1
1 0 0 1 0 0 0
1 0 1 0 1 1 1
1 0 1 1 0 1 1
1 1 1 0 1 0 0
1 0 1 1 0 1 1
1 0 1 1 1 1 1
1 0 1 1 1 1 0
1 0 0 1 0 1 1
1 0 1 1 1 0 1
0 1 1 0 1 0 0
1 0 1 1 0 1 1
0 1 1 0 1 0 0
0 1 0 0 0 1 0
0 1 0 0 0 0 1
0 1 0 0 1 0 0
0 1 1 0 0 1 0
0 1 1 0 0 0 1
0 1 1 1 0 1 0
0 1 1 0 0 0 0
0 1 1 0 1 0 0
0 1 1 0 0 0 0
1 0 0 0 0 1 1
0 1 1 1 0 1 0
0 1 1 0 1 1 0
0 1 0 0 1 0 0
1 0 1 1 0 1 1
1 1 1 1 0 1 1
0 1 0 0 1 0 0
0 1 0 0 1 0 0
1 1 0 1 0 1 1
0 1 1 0 0 0 0
1 0 0 1 0 1 1
1 0 0 1 0 1 1
1 0 1 1 1 1 1
1 1 0 1 1 1 1
1 0 1 1 0 1 1
0 1 1 0 1 0 0
0 1 1 0 1 0 0
0 1 0 0 1 0 0
0 1 1 0 0 0 0
1 0 1 1 0 0 1
0 1 0 0 1 1 0
0 0 1 1 1 1 1
1 0 1 1 0 1 0
1 0 1 1 0 1 1
1 0 0 1 0 1 1
1 0 0 1 1 1 1
1 0 0 0 0 1 1
0 1 1 0 1 0 0
1 0 0 1 0 1 1
0 1 1 0 1 0 0
1 1 0 1 1 1 0
1 0 0 1 0 0 1
1 0 0 1 0 1 0
0 1 0 0 1 0 0
1 0 0 1 0 0 0
1 0 1 1 1 1 1
0 1 1 0 1 1 0
1 0 0 1 0 1 1
0 1 1 0 1 0 0
1 0 1 1 0 0 1
1 0 0 1 1 1 1
0 1 0 0 0 0 0
1 0 0 1 0 1 1
0 1 1 0 1 0 0
1 0 1 1 1 1 0
0 1 0 0 0 0 0
1 0 1 1 0 1 1
0 1 1 0 1 0 0
1 0 0 1 1 1 1
0 0 1 0 1 0 0
1 0 1 1 1 1 1
0 0 1 0 0 0 0
1 0 1 1 1 1 1
1 0 1 1 1 0 1
1 0 0 1 0 1 1
0 1 0 0 1 0 0
0 1 0 0 1 1 1
0 1 1 0 0 0 0
1 0 0 1 0 1 1
0 1 1 0 0 1 0
1 0 0 1 0 1 1
0 1 1 0 1 0 0
1 0 0 1 0 1 1
1 0 0 1 1 1 1
0 0 0 0 1 0 0
1 0 0 1 1 0 1
1 0 0 1 0 1 1
1 0 1 1 1 1 1
1 0 0 0 1 1 1
0 1 1 0 1 0 0
0 1 1 0 1 1 0
0 1 0 0 1 0 0
1 0 0 1 0 1 1
1 0 0 0 1 1 1
0 1 1 0 0 0 0
0 1 1 0 1 0 0
0 0 1 0 0 0 0
1 0 1 0 0 1 1
0 1 0 0 1 0 0
1 0 0 1 0 1 1
0 1 1 0 1 0 0
