Result,FNL1,FNL2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
1,2,1,57,44,43,20,9,5,12,7,13,4,0,7,6,6,0,0,57,31,43,23,2,7,8,4,15,10,0,5,7,1,0,0
0,0,2,44,12,56,7,1,3,6,5,20,12,0,4,2,0,0,0,56,21,44,10,0,6,13,8,30,20,0,6,6,0,0,0
1,2,0,63,26,37,9,4,1,11,5,11,6,0,6,6,0,0,0,63,20,37,10,0,4,4,1,19,13,0,0,3,0,0,0
0,0,2,60,21,40,7,0,3,5,2,34,18,0,4,1,0,0,0,63,23,37,8,3,3,12,6,14,7,0,6,6,0,0,0
0,0,2,58,14,42,5,3,3,4,3,10,5,0,2,3,0,0,0,60,20,40,9,1,4,11,7,13,12,0,6,6,0,0,0
0,1,2,60,40,40,18,1,4,6,4,12,7,0,4,7,2,0,0,68,43,32,14,5,8,14,7,23,17,0,6,6,6,0,0
0,1,2,55,26,45,18,3,8,13,7,20,8,0,6,3,4,0,0,73,40,27,7,3,9,19,9,24,16,0,4,6,6,0,0
0,1,2,69,37,31,14,3,1,2,2,24,12,0,3,7,2,0,0,60,38,40,19,15,2,7,4,16,12,0,6,5,6,0,0
0,0,2,75,22,25,8,1,1,10,3,15,10,0,2,6,0,0,0,45,23,55,16,2,3,6,5,22,16,0,6,7,0,0,0
0,0,2,54,18,46,11,2,7,1,1,16,7,0,4,2,0,0,0,54,19,46,15,6,0,8,4,5,4,0,6,6,0,0,0
1,2,0,62,26,38,11,6,4,10,4,13,9,0,6,6,0,0,0,66,28,34,8,0,4,2,1,12,6,0,4,1,0,0,0
0,0,2,66,8,34,3,0,4,3,2,6,3,0,3,0,0,0,0,58,17,42,8,3,2,7,7,12,10,0,6,6,0,0,0
1,2,1,78,54,22,9,2,1,19,7,21,14,0,4,6,7,0,0,68,47,32,12,4,6,15,7,19,12,0,6,3,6,0,0
1,2,1,60,41,40,18,7,5,11,6,32,18,0,4,7,6,0,0,64,39,36,14,2,3,10,5,9,7,0,6,5,4,0,0
0,1,2,62,34,38,21,2,2,11,2,10,7,0,6,4,3,0,0,63,47,37,22,3,4,9,3,34,27,0,4,6,6,0,0
0,0,2,54,9,46,5,1,5,1,0,8,3,0,1,0,0,0,0,81,23,19,3,3,1,7,6,5,4,0,6,6,0,0,0
0,1,2,56,44,44,21,9,10,6,1,18,13,0,7,3,2,0,0,68,48,32,17,2,6,18,4,30,19,0,6,6,6,0,0
0,0,2,58,22,42,8,3,6,5,3,17,9,0,4,3,0,0,0,51,25,49,16,0,0,16,5,17,12,0,6,6,0,0,0
0,0,2,52,18,48,10,4,7,0,0,13,8,0,3,0,0,0,0,70,22,30,6,1,2,9,5,3,3,0,6,6,0,0,0
0,0,2,55,21,45,10,4,3,8,1,24,16,0,5,1,0,0,0,51,26,49,17,0,1,8,5,14,9,0,7,6,0,0,0
0,1,2,73,43,27,10,1,3,17,8,20,12,0,6,5,6,0,0,61,41,39,21,1,4,11,7,35,27,0,3,7,7,0,0
0,0,2,52,16,48,16,0,5,2,1,5,3,0,2,5,0,0,0,65,29,35,10,11,6,7,4,9,9,0,6,7,0,0,0
0,0,2,55,14,45,6,0,1,7,2,17,11,0,1,3,0,0,0,70,25,30,8,2,2,9,6,8,5,0,6,6,0,0,0
1,2,0,66,28,44,7,6,1,8,4,13,10,0,6,6,0,0,0,59,14,41,12,0,3,1,0,13,4,0,3,1,0,0,0
1,2,0,75,42,25,12,1,1,5,3,14,7,0,6,7,0,0,0,53,30,47,13,4,3,10,2,29,19,0,4,6,0,0,0
1,2,0,61,36,39,15,6,3,8,3,15,11,0,6,7,0,0,0,56,28,44,12,7,3,6,1,11,9,0,4,5,0,0,0
0,0,2,75,27,25,6,0,4,3,2,13,8,0,2,4,0,0,0,79,30,21,5,0,2,11,5,9,7,0,6,6,0,0,0
1,2,0,52,31,48,12,3,5,9,6,28,14,0,6,7,0,0,0,81,30,19,5,0,2,7,5,26,19,0,4,6,0,0,0
0,0,2,44,17,56,10,1,9,1,1,7,6,0,0,4,0,0,0,44,17,56,14,2,3,11,5,6,6,0,6,6,0,0,0
1,2,0,58,24,42,11,7,0,7,6,21,13,0,6,6,0,0,0,93,16,7,1,0,1,9,2,16,9,0,3,1,0,0,0
1,2,0,64,21,36,11,4,1,7,5,8,6,0,6,6,0,0,0,57,16,43,7,3,3,1,0,10,5,0,3,0,0,0,0
1,2,0,76,22,34,6,0,1,9,6,9,9,0,6,6,0,0,0,55,12,45,5,0,0,4,2,18,10,0,1,2,0,0,0
0,1,2,47,27,53,27,2,7,14,6,38,26,0,4,6,3,0,0,68,34,32,14,2,3,18,7,22,15,0,6,2,6,0,0
0,0,2,48,10,52,4,0,8,5,3,10,5,0,3,1,0,0,0,65,25,35,8,3,5,10,7,8,7,0,6,6,0,0,0
1,2,1,66,52,34,21,7,5,10,3,13,6,0,6,3,7,0,0,59,44,41,20,5,2,19,2,19,14,0,4,6,5,0,0
1,2,0,64,39,36,12,2,4,6,4,6,5,0,6,6,0,0,0,79,33,21,5,1,2,6,0,9,6,0,2,1,0,0,0
0,0,2,41,9,59,15,0,4,6,1,7,1,0,2,3,0,0,0,42,24,58,15,8,6,6,4,16,7,0,6,6,0,0,0
1,2,0,56,28,44,12,4,6,11,6,15,9,0,6,6,0,0,0,55,13,45,9,0,4,9,2,15,9,0,2,2,0,0,0
1,2,0,46,14,54,18,2,2,12,5,5,5,0,6,6,0,0,0,74,21,26,6,0,4,2,2,7,5,0,2,3,0,0,0
1,2,0,80,25,20,8,0,0,10,6,5,4,0,7,6,0,0,0,58,19,42,6,2,2,4,3,9,5,0,5,1,0,0,0
1,2,0,62,26,38,11,0,1,12,4,15,11,0,6,6,0,0,0,57,21,43,15,5,3,4,1,26,11,0,4,2,0,0,0
1,2,1,54,39,46,19,5,3,13,6,34,22,0,6,4,6,0,0,71,44,29,14,0,1,7,3,20,15,0,1,6,4,0,0
0,0,2,67,18,33,8,1,2,2,1,3,1,0,2,2,0,0,0,58,19,42,13,4,1,10,5,17,12,0,6,6,0,0,0
0,0,2,67,10,33,7,0,1,0,0,10,6,0,1,1,0,0,0,67,20,33,8,2,0,10,5,16,14,0,6,6,0,0,0
0,1,2,52,39,48,26,4,6,14,4,27,17,0,3,6,6,0,0,74,49,26,15,1,3,13,4,16,11,0,6,2,7,0,0
