type,text
souseki,二 年 目 の 夏 に 彼 は 国 から 催促 を 受け て ようやく 帰り まし た 。 帰っ て も 専門 の 事 は 何 に も いわ なかっ た もの と みえ ます 。 家  うち  でも また そこ に 気が付か なかっ た の です 。 あなた は 学校 教育 を 受け た 人 だ から 、 こういう 消息 を よく 解し て いる でしょ う が 、 世間 は 学生 の 生活 だの 、 学校 の 規則 だ の に関して 、 驚く べく 無知 な もの です 。 我々 に 何 で も ない 事 が 一向  いっこう  外部 へ は 通じ て い ませ ん 。 我々 は また 比較的 内部 の 空気 ばかり 吸っ て いる ので 、 校内 の 事 は 細大 とも に 世の中 に 知れ渡っ て いる はず だ と 思い 過ぎる 癖 が あり ます 。 Ｋ は その 点 にかけて 、 私 より 世間 を 知っ て い た の でしょ う 、 澄まし た 顔 で また 戻っ て 来 まし た 。 国 を 立つ 時 は 私 も いっしょ でし た から 、 汽車 へ 乗る や 否  い な  や すぐ どう だっ た と Ｋ に 問い まし た 。 Ｋ は どう で も なかっ た と 答え た の です 。
souseki,だから 出 やし ませ ん 。 癒  なお  る と も 癒 ら ない と も 片付か ない うち は 、 ちゃんと こう し て いる つもり です
souseki,私 が 帰っ た の は 七月 の 五 、 六 日 で 、 父 や 母 が 私 の 卒業 を 祝う ため に 客 を 呼ぼ う と いい だし た の は 、 それ から 一 週間 ｜ 後  ご  で あっ た 。 そうして いよいよ と 極  き  め た 日 は それから また 一 週間 の 余 も 先 に なっ て い た 。 時間 に 束縛 を 許さ ない 悠長 な 田舎  いなか  に 帰っ た 私 は 、 お蔭  かげ  で 好もしく ない 社交 上 の 苦痛 から 救わ れ た も 同じ 事 で あっ た が 、 私 を 理解 し ない 母 は 少し も そこ に 気が付い て い ない らしかっ た 。
souseki,私 は Ｋ と 並ん で 足 を 運ば せ ながら 、 彼 の 口 を 出る 次 の 言葉 を 腹の中 で 暗  あん  に 待ち受け まし た 。 あるいは 待ち伏せ といった 方 が まだ 適当 かも 知れ ませ ん 。 その 時 の 私 は たとい Ｋ を 騙  だま  し 打ち に し て も 構わ ない くらい に 思っ て い た の です 。 しかし 私 に も 教育 相当 の 良心 は あり ます から 、 もし 誰 か 私 の 傍  そば  へ 来 て 、 お前 は 卑怯  ひきょう  だ と 一言  ひとこと  私語  ささや  い て くれる もの が あっ た なら 、 私 は その 瞬間 に 、 はっと 我 に 立ち 帰っ た かも 知れ ませ ん 。 もし Ｋ が その 人 で あっ た なら 、 私 は おそらく 彼 の 前 に 赤面 し た でしょ う 。 ただ Ｋ は 私 を 窘  たし な  め る に は 余りに 正直 でし た 。 余りに 単純 でし た 。 余りに 人格 が 善良 だっ た の です 。 目 の くらん だ 私 は 、 そこ に 敬意 を 払う 事 を 忘れ て 、 かえって そこ に 付け込ん だ の です 。 そこ を 利用 し て 彼 を 打ち倒そ う と し た の です 。
souseki,無論 い まし た わ 。 夫婦 です もの
souseki,私 は その 友達 の 名 を ここ に Ｋ と 呼ん で おき ます 。 私 は この Ｋ と 小 供  こども  の 時 から の 仲 好  なかよし  でし た 。 小 供 の 時 から と いえ ば 断ら ない でも 解っ て いる でしょ う 、 二 人 に は 同郷 の 縁故 が あっ た の です 。 Ｋ は 真宗  しん しゅう  の 坊さん の 子 でし た 。 もっとも 長男 で は あり ませ ん 、 次男 でし た 。 それ で ある 医者 の 所 へ 養子 に やら れ た の です 。 私 の 生れ た 地方 は 大変 ｜ 本願寺 派  ほん がん じ は  の 勢力 の 強い 所 でし た から 、 真宗 の 坊さん は 他  ほか  の もの に 比べる と 、 物質 的 に 割 が 好かっ た よう です 。 一 例 を 挙げる と 、 もし 坊さん に 女の子 が あっ て 、 その 女の子 が 年頃  としごろ  に なっ た と する と 、 檀家  だ ん か  の もの が 相談 し て 、 どこ か 適当 な 所 へ 嫁 に やっ て くれ ます 。 無論 費用 は 坊さん の 懐  ふところ  から 出る の で は あり ませ ん 。 そんな 訳 で 真宗寺  しんし ゅうでら  は 大抵 ｜ 有福  ゆう ふく  でし た 。
souseki,先生 と 奥さん の 間 に 起っ た 波瀾  はら ん  が 、 大した もの で ない 事 は これ でも 解  わか  っ た 。 それ が また 滅多  めった  に 起る 現象 で なかっ た 事 も 、 その後 絶えず 出入  で い  り を し て 来 た 私 に は ほぼ 推察 が でき た 。 それどころか 先生 は ある 時 こんな 感想 すら 私 に 洩  も  らし た 。
souseki,崩御  ほう ぎょ  の 報知 が 伝え られ た 時 、 父 は その 新聞 を 手 に し て 、  ああ 、 ああ  と いっ た 。
souseki,その 内  うち  私 の 頭 は 段々 この 静か さ に 掻  か  き 乱さ れる よう に なっ て 来 まし た 。 Ｋ は 今 襖 の 向う で 何 を 考え て いる だろ う と 思う と 、 それ が 気 に なっ て 堪  たま  ら ない の です 。 不断 も こんな 風  ふう  に お互い が 仕切 一 枚 を 間 に 置い て 黙り 合っ て いる 場合 は 始終 あっ た の です が 、 私 は Ｋ が 静か で あれ ば ある ほど 、 彼 の 存在 を 忘れる の が 普通 の 状態 だっ た の です から 、 その 時 の 私 は よほど 調子 が 狂っ て い た もの と 見 なけれ ば なり ませ ん 。 それでいて 私 は こっち から 進ん で 襖 を 開ける 事 が でき なかっ た の です 。 一旦  いったん  いい そびれ た 私 は 、 また 向う から 働き掛け られる 時機 を 待つ より 外  ほか  に 仕方 が なかっ た の です 。
souseki,先生 も そんな 事 を 考え て お 出  いで  です か
