temp	power
18.7	3246
19.7	3180
19.1	2926
25.3	3048
20.4	3301
23.7	3321
24.8	3357
28.5	3411
23.7	3364
27.8	3527
25.5	3416
26.7	3457
23.6	3332
21	3475
26.5	3568
26.6	3591
26.2	3544
28.2	3567
26.1	3504
25.4	3488
24.4	3486
22.7	3526
27.2	3493
24.9	3594
29.1	3622
27.7	3629
25.3	3528
25.4	3507
27.5	3609
23	3552
24.1	3636
22.5	3711
27	3746
29.3	4043
30.2	4062
28	3923
24.3	3677
24	3621
27.7	3777
26.3	3781
23.7	3625
27.5	3636
25.5	3572
26.1	3608
27.9	3765
27.4	3680
27.3	3840
28.9	3973
35.3	4902
35.4	4929
35.3	4995
34.5	5024
34.9	4955
35.1	4185
29.1	4108
29.1	3959
31.8	4538
30.5	4173
30.4	4187
35.2	4603
27.1	3981
29.3	4033
