Player1,Player2,Result,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
Serena Williams,Ashleigh Barty,1,59,20,41,8,6,2,31,17,5,10,10,11,58,6,6,0,0,0,51,14,49,11,1,4,5,18,0,0,2,4,31,2,1,0,0,0
Vesna Dolonc,Lara Arruabarrena,1,65,33,35,10,7,4,7,4,5,10,0,0,78,2,6,6,0,0,62,33,38,10,0,3,0,3,4,7,0,0,74,6,2,4,0,0
Pauline Parmentier,Karolina Pliskova,0,63,16,37,4,3,6,3,6,0,2,0,0,37,0,1,0,0,0,60,26,40,7,5,0,5,0,5,14,0,0,64,6,6,0,0,0
Heather Watson,Daniela Hantuchova,0,61,41,39,19,8,3,27,45,4,7,10,13,88,5,6,3,0,0,68,43,32,10,6,2,37,44,5,13,5,8,102,7,3,6,0,0
Samantha Stosur,Klara Zakopalova,1,65,28,35,11,6,1,19,18,7,10,7,10,74,6,6,0,0,0,50,18,50,7,1,5,27,27,4,14,10,15,60,3,4,0,0,0
Tsvetana Pironkova,Silvia Soler-Espinosa,1,62,28,38,12,5,0,30,21,3,5,4,7,68,6,6,0,0,0,50,18,50,14,3,2,11,23,0,3,6,6,44,3,2,0,0,0
Annika Beck,Petra Martic,1,67,18,33,8,0,0,8,10,6,11,3,3,52,6,6,0,0,0,50,8,50,4,2,6,7,34,0,2,3,7,25,0,0,0,0,0
Kiki Bertens,Ana Ivanovic,0,61,15,39,11,2,4,23,35,6,11,10,16,61,4,4,0,0,0,60,24,40,9,3,4,14,22,8,9,4,6,73,6,6,0,0,0
Roberta Vinci,Jie Zheng,0,66,23,34,7,3,3,20,28,3,10,7,12,56,4,3,0,0,0,68,26,32,10,0,2,26,25,5,7,1,2,67,6,6,0,0,0
Patricia Mayr-Achleitner,Madison Keys,0,71,48,29,14,0,1,0,1,5,12,0,0,113,2,7,7,0,0,52,45,48,30,11,4,11,4,8,10,0,0,135,6,6,9,0,0
Casey Dellacqua,Vera Zvonareva,1,66,22,34,13,0,0,10,19,4,10,1,2,67,6,6,0,0,0,65,22,35,9,2,4,14,43,0,1,5,8,40,2,2,0,0,0
Laura Robson,Kirsten Flipkens,0,57,14,43,5,2,5,12,32,0,0,6,10,27,3,0,0,0,0,57,18,43,11,7,2,14,4,5,6,2,4,54,6,6,0,0,0
Eugenie Bouchard,Hao Chen Tang,1,64,30,36,16,1,4,1,4,5,11,0,0,82,7,6,0,0,0,57,21,43,12,1,6,1,6,2,7,0,0,64,5,1,0,0,0
Alison Van Uytvanck,Virginie Razzano,0,54,32,46,15,5,4,22,40,2,7,4,6,78,6,6,0,0,0,58,39,42,18,7,9,21,41,2,3,8,11,82,7,7,0,0,0
Sachia Vickery,Lauren Davis,0,51,14,49,12,0,3,8,36,3,5,5,11,47,3,3,0,0,0,61,23,39,7,0,0,15,23,6,7,7,12,63,6,6,0,0,0
Julia Goerges,Sara Errani,1,50,20,50,15,4,2,39,36,5,9,7,10,65,6,6,0,0,0,77,21,23,5,1,0,6,11,2,5,4,4,49,3,2,0,0,0
Na Li,Ana Konjuh,1,76,24,24,7,3,0,20,18,5,12,13,19,61,6,6,0,0,0,50,13,50,9,0,5,7,25,0,1,3,6,36,2,0,0,0,0
Belinda Bencic,Kimiko Date-Krumm,1,53,25,47,15,5,5,27,44,10,20,7,14,94,6,4,6,0,0,71,31,29,10,1,4,29,47,8,13,9,17,87,4,6,3,0,0
Donna Vekic,Lucie Hradecka,0,47,17,53,9,1,2,1,2,0,5,0,0,37,3,1,0,0,0,54,23,46,12,9,4,9,4,4,7,0,0,58,6,6,0,0,0
Julia Glushko,Lucie Safarova,0,61,35,39,20,6,3,6,3,2,7,0,0,82,5,6,1,0,0,59,37,41,21,3,4,3,4,4,8,0,0,92,7,3,6,0,0
Ekaterina Makarova,Venus Williams,1,63,43,37,17,1,4,21,26,5,12,6,10,97,2,6,6,0,0,55,36,45,18,5,8,50,56,5,14,20,24,103,6,4,4,0,0
Anabel Medina Garrigues,Irina Falconi,0,86,18,14,3,0,1,0,1,2,4,0,0,41,3,1,0,0,0,53,18,47,13,3,3,3,3,6,7,0,0,60,6,6,0,0,0
Shahar Peer,Monica Niculescu,0,80,21,20,2,2,1,23,38,3,7,9,23,49,4,1,0,0,0,82,26,18,3,1,0,10,13,7,10,10,14,61,6,6,0,0,0
Mirjana Lucic-Baroni,Sabine Lisicki,0,43,17,57,8,2,10,11,26,0,7,0,3,51,2,1,0,0,0,52,32,48,15,7,6,28,24,4,8,10,14,75,6,6,0,0,0
Angelique Kerber,Jarmila Gajdosova,1,65,36,35,13,6,5,30,17,4,7,9,12,81,6,0,6,0,0,53,29,47,12,2,6,41,31,4,11,22,33,80,3,6,2,0,0
Caroline Garcia,Alla Kudryavtseva,0,58,22,42,15,3,7,3,7,4,6,0,0,77,2,6,0,0,0,58,37,42,14,3,4,3,4,6,10,0,0,93,6,7,0,0,0
Dinah Pfizenmaier,Yanina Wickmayer,0,48,24,52,23,3,12,3,12,2,15,0,0,87,6,3,0,0,0,58,38,42,15,6,8,6,8,4,7,0,0,95,7,6,0,0,0
Alison Riske,Elena Vesnina,1,64,24,36,8,4,3,15,16,4,8,5,5,57,6,6,0,0,0,62,17,38,10,2,4,9,31,0,0,1,1,34,2,2,0,0,0
Flavia Pennetta,Alexandra Cadantu,1,40,16,60,14,2,3,28,21,6,17,9,11,66,6,6,0,0,0,58,14,42,9,1,8,13,36,1,3,5,8,41,0,2,0,0,0
Monica Puig,Anna Tatishvili,1,61,30,39,13,8,5,25,27,4,5,6,6,68,6,6,0,0,0,68,20,32,5,0,4,10,23,1,8,6,7,48,2,4,0,0,0
Shuai Zhang,Mona Barthel,0,75,31,25,8,2,1,17,21,2,6,8,10,68,6,3,0,0,0,69,41,31,10,2,3,33,30,3,6,8,9,77,7,6,0,0,0
Luksika Kumkhum,Petra Kvitova,1,48,26,52,20,4,6,28,27,5,16,7,8,92,6,1,6,0,0,60,36,40,15,3,8,32,40,4,12,12,16,80,2,6,4,0,0
Jelena Jankovic,Misaki Doi,1,60,23,40,11,6,6,20,19,5,8,2,4,59,6,6,0,0,0,52,12,48,5,1,3,10,26,1,8,0,2,36,1,2,0,0,0
Nadiya Kichenok,Ayumi Morita,0,63,27,37,11,4,7,24,43,2,8,11,14,68,2,6,0,0,0,62,30,38,16,6,2,20,24,4,5,1,3,75,6,7,0,0,0
Kurumi Nara,Shuai Peng,1,74,39,26,10,1,6,23,37,8,16,2,4,103,7,4,6,0,0,63,40,37,16,3,5,36,54,6,10,4,6,96,5,6,3,0,0
Andrea Petkovic,Magdalena Rybarikova,0,68,23,32,6,1,4,15,31,1,3,7,11,48,2,3,0,0,0,67,27,33,8,4,1,18,16,5,8,9,16,66,6,6,0,0,0
