Month,queries
2012-06,11
2012-07,12
2012-08,8
2012-09,10
2012-10,8
2012-11,14
2012-12,10
2013-01,12
2013-02,7
2013-03,7
2013-04,9
2013-05,11
2013-06,10
2013-07,9
2013-08,8
2013-09,9
2013-10,7
2013-11,11
2013-12,20
2014-01,18
2014-02,9
2014-03,10
2014-04,10
2014-05,12
2014-06,13
2014-07,15
2014-08,11
2014-09,11
2014-10,12
2014-11,17
2014-12,39
2015-01,37
2015-02,27
2015-03,25
2015-04,28
2015-05,33
2015-06,40
2015-07,43
2015-08,36
2015-09,52
2015-10,44
2015-11,44
2015-12,59
2016-01,54
2016-02,50
2016-03,96
2016-04,72
2016-05,100
2016-06,84
2016-07,64
2016-08,59
2016-09,59
2016-10,76
2016-11,100
2016-12,74
2017-01,84
2017-02,66
2017-03,55
2017-04,67
2017-05,73
2017-06,93
2017-07,71
2017-08,62
2017-09,53
2017-10,63
2017-11,66
2017-12,69
2018-01,64
2018-02,55
2018-03,50
2018-04,48
2018-05,53
2018-06,51
2018-07,45
2018-08,38
2018-09,37
2018-10,40
2018-11,40
2018-12,34
2019-01,36
2019-02,34
2019-03,36
