Month,queries
2012-06,4
2012-07,4
2012-08,4
2012-09,5
2012-10,7
2012-11,8
2012-12,6
2013-01,19
2013-02,26
2013-03,47
2013-04,42
2013-05,32
2013-06,33
2013-07,100
2013-08,49
2013-09,44
2013-10,43
2013-11,50
2013-12,41
2014-01,32
2014-02,36
2014-03,31
2014-04,38
2014-05,30
2014-06,32
2014-07,29
2014-08,28
2014-09,30
2014-10,31
2014-11,29
2014-12,29
2015-01,24
2015-02,21
2015-03,37
2015-04,27
2015-05,28
2015-06,29
2015-07,27
2015-08,19
2015-09,23
2015-10,30
2015-11,35
2015-12,32
2016-01,29
2016-02,31
2016-03,43
2016-04,35
2016-05,32
2016-06,36
2016-07,33
2016-08,23
2016-09,32
2016-10,32
2016-11,33
2016-12,34
2017-01,34
2017-02,41
2017-03,45
2017-04,44
2017-05,40
2017-06,47
2017-07,35
2017-08,42
2017-09,39
2017-10,58
2017-11,50
2017-12,45
2018-01,56
2018-02,67
2018-03,63
2018-04,84
2018-05,63
2018-06,73
2018-07,58
2018-08,62
2018-09,57
2018-10,75
2018-11,66
2018-12,55
2019-01,58
2019-02,69
2019-03,77
