x1	x2	x3	y
2988021	3029541	3429375	3167
4331957	2996819	4128007	3365
2492737	3027725	4200477	2565
1683820	2957989	6376299	2818
4128840	2858124	6004612	3053
3962996	2811866	2737337	3414
3714857	3063559	2683578	3752
8799547	2876728	5225511	4358
4671498	3122666	3141535	3382
6084363	2910658	6832386	3464
3612050	2847701	5625191	3085
3675204	2798165	6411558	3243
2152230	2920380	4648584	3501
3314873	3060826	555719	3861
6942274	3025994	5971589	4194
4056880	2913723	5780505	3365
5281097	3017321	6174218	3264
5587700	2982647	5529498	3429
6418753	3032302	6264082	3985
721950	2927526	2359204	3017
1327985	2995389	6727156	3673
757987	2906949	6224783	3200
758481	2969382	7099361	3298
398211	2965185	2397822	2441
8783147	2993898	4235225	4049
8106980	3024133	3633298	4059
3891767	3174520	2394467	3705
7859220	3177116	7099928	5070
348370	3207487	4348418	3186
1069946	3044937	4889623	3176
4121627	2993778	5499926	3216
4676828	3102077	5103253	3562
4422547	2985173	2878788	3341
9630761	2963135	6823327	4862
4374209	2900123	5710556	4366
342446	3093921	4248698	3775
4539698	2920554	6162909	3763
6615892	3040993	3648213	3636
1498663	2780925	4691886	3149
7160677	2929978	3349835	4040
6884791	3115819	4553761	4436
4426271	2977723	3517959	4419
1647075	3098836	5396487	3814
9549146	2966506	4873894	4743
9891306	3170812	6782451	4513
8384572	2825734	7060269	4295
3458856	3146979	6061752	3933
4235948	2992301	6486741	4268
4337407	3085499	4452161	4733
11745610	2751756	5635920	5520
6164380	3178150	5422125	4228
1917474	2980918	6236014	3213
3697640	2889669	6407737	3823
7468086	2964323	3852946	4416
2352882	2955956	4098202	4076
5648275	3013148	7183935	4941
754188	3015502	2426077	3856
1600721	3029134	7226952	3890
4332031	2986013	3446238	3831
4032404	3148164	3305168	3884
10047404	2996862	8482078	5256
1050482	3109771	3914009	4061
4891061	2979994	2095959	4739
3867914	3004608	5085382	4802
4543193	3071890	2466772	4268
1292775	3061802	5313716	3844
1918829	3078229	3457574	4010
10122634	3075287	5800198	5465
1798964	3038448	6243983	4633
6003599	2921737	6307999	5562
3731073	3087674	1951525	4861
1442485	2906726	6146580	4174
1379981	3030773	5165554	4151
5228726	2983075	7407610	5056
6240427	3055202	3428671	4915
1229708	2946126	5565702	4827
11357752	2924144	4456343	6567
5335670	3137268	6479051	5545
1268137	3147081	3649368	4585
7021135	2998690	4873337	5233
2426083	3118053	3279620	4584
2788826	3141421	4849366	5108
1204588	3043285	3842915	5163
1307511	2850287	2427846	5417
5904196	2984663	5503680	6079
3384371	2963601	614234	5073
5732509	3194090	5550765	5488
5732494	3042027	4839453	5535
9081271	3010024	7042309	6344
212481	3035409	3335540	5278
6857360	2982214	3484522	6869
1690472	3068184	3737271	5747
3259380	2967727	5830239	6061
2535225	2961038	3371221	5128
8547798	3105422	4717173	6444
7702176	3039928	6117861	6379
1343953	2816919	6449141	5733
3228187	2970189	6141247	6767
23398	3136986	4575146	5930
7491820	2799417	3598071	6633
