x1 x2 x3 y
2988021 3029541 3429375 2387
4331957 2996819 4128007 2625
2492737 3027725 4200477 2371
1683820 2957989 6376299 2351
4128840 2858124 6004612 2684
3962996 2811866 2737337 2494
3714857 3063559 2683578 2527
8799547 2876728 5225511 3380
4671498 3122666 3141535 2728
6084363 2910658 6832386 3082
3612050 2847701 5625191 2645
3675204 2798165 6411558 2691
2152230 2920380 4648584 2415
3314873 3060826 555719 2430
6942274 3025994 5971589 3246
4056880 2913723 5780505 2786
5281097 3017321 6174218 3025
5587700 2982647 5529498 3040
6418753 3032302 6264082 3224
721950 2927526 2359204 2158
1327985 2995389 6727156 2494
757987 2906949 6224783 2372
758481 2969382 7099361 2441
398211 2965185 2397822 2161
8783147 2993898 4235225 3528
8106980 3024133 3633298 3414
3891767 3174520 2394467 2767
7859220 3177116 7099928 3608
348370 3207487 4348418 2362
1069946 3044937 4889623 2466
4121627 2993778 5499926 2962
4676828 3102077 5103253 3072
4422547 2985173 2878788 2914
9630761 2963135 6823327 3907
4374209 2900123 5710556 3067
342446 3093921 4248698 2457
4539698 2920554 6162909 3159
6615892 3040993 3648213 3395
1498663 2780925 4691886 2635
7160677 2929978 3349835 3474
6884791 3115819 4553761 3559
4426271 2977723 3517959 3124
1647075 3098836 5396487 2852
9549146 2966506 4873894 3998
9891306 3170812 6782451 4216
8384572 2825734 7060269 3937
3458856 3146979 6061752 3249
4235948 2992301 6486741 3368
4337407 3085499 4452161 3325
11745610 2751756 5635920 4432
6164380 3178150 5422125 3710
1917474 2980918 6236014 3085
3697640 2889669 6407737 3357
7468086 2964323 3852946 3834
2352882 2955956 4098202 3097
5648275 3013148 7183935 3780
754188 3015502 2426077 2828
1600721 3029134 7226952 3219
4332031 2986013 3446238 3449
4032404 3148164 3305168 3457
10047404 2996862 8482078 4630
1050482 3109771 3914009 3131
4891061 2979994 2095959 3633
3867914 3004608 5085382 3686
4543193 3071890 2466772 3723
1292775 3061802 5313716 3425
1918829 3078229 3457574 3480
10122634 3075287 5800198 4877
1798964 3038448 6243983 3692
6003599 2921737 6307999 4346
3731073 3087674 1951525 3879
1442485 2906726 6146580 3750
1379981 3030773 5165554 3773
5228726 2983075 7407610 4500
6240427 3055202 3428671 4521
1229708 2946126 5565702 3899
11357752 2924144 4456343 5408
5335670 3137268 6479051 4709
1268137 3147081 3649368 4009
7021135 2998690 4873337 4947
2426083 3118053 3279620 4257
2788826 3141421 4849366 4446
1204588 3043285 3842915 4184
1307511 2850287 2427846 4130
5904196 2984663 5503680 5057
3384371 2963601 614234 4479
5732509 3194090 5550765 5186
5732494 3042027 4839453 5162
9081271 3010024 7042309 5817
212481 3035409 3335540 4358
6857360 2982214 3484522 5398
1690472 3068184 3737271 4707
3259380 2967727 5830239 5072
2535225 2961038 3371221 4889
8547798 3105422 4717173 5944
7702176 3039928 6117861 5921
1343953 2816919 6449141 4978
3228187 2970189 6141247 5334
23398 3136986 4575146 4867
7491820 2799417 3598071 5904
