d1 d2 d3 d4 d5 d6 d7 d8 d9 d10 d11 d12 click
0 1 1 1 0 1 0 1 0 1 0 1 49536
0 1 1 0 0 0 0 1 0 0 0 0 49541
1 1 1 0 1 0 1 1 0 1 1 0 49584
0 1 0 1 1 0 1 1 0 0 1 0 49616
0 1 0 1 1 1 1 1 0 1 1 1 49627
0 1 1 0 0 0 1 0 1 0 1 0 49637
0 1 0 0 1 1 0 1 0 0 0 0 49655
0 1 0 1 1 0 1 1 0 0 1 0 49718
0 1 1 0 1 1 0 1 0 1 1 1 49718
0 1 0 1 1 1 0 1 1 1 1 1 49733
0 1 1 1 1 0 1 1 0 0 0 0 49739
0 1 1 1 0 0 1 1 0 0 1 0 49777
0 1 0 1 1 1 1 1 0 1 0 0 49796
0 1 0 1 1 0 0 0 1 0 1 0 49803
1 1 0 1 1 0 1 1 0 0 1 0 49825
1 1 0 0 1 0 1 0 0 1 1 1 49828
0 1 1 1 1 0 1 1 1 0 1 0 49833
0 1 0 0 0 0 0 1 0 1 1 0 49835
0 1 1 1 1 1 0 1 0 1 0 1 49844
0 1 1 1 0 0 1 1 0 0 0 0 49845
0 1 1 1 1 1 1 0 0 1 1 1 49858
1 1 0 0 1 0 1 1 0 0 0 1 49866
0 1 0 0 1 1 1 1 0 1 1 1 49879
0 1 1 0 1 1 0 1 0 1 1 1 49897
0 0 0 1 1 0 1 1 0 1 0 1 49942
1 1 0 1 1 0 0 1 0 1 0 0 49942
0 1 1 1 1 1 1 1 1 0 1 1 49950
1 1 1 1 1 0 0 1 0 0 0 0 49956
0 1 1 1 1 0 0 1 0 0 0 0 49960
0 1 1 0 0 0 0 1 0 0 1 1 49972
0 1 1 1 0 0 1 0 1 0 1 0 49972
0 1 1 1 1 1 1 0 0 1 0 1 49974
1 1 0 0 1 0 0 1 0 0 1 1 49980
0 1 0 0 1 1 1 1 1 0 0 0 49983
1 1 0 1 1 0 1 1 0 0 0 0 49985
1 0 1 0 1 0 1 0 1 1 1 0 49985
1 1 1 1 0 0 1 0 1 1 1 0 49989
1 0 1 1 1 0 1 1 1 1 1 1 49995
1 0 0 0 0 0 1 1 1 0 1 1 50005
1 1 1 1 1 0 1 0 1 1 1 0 50007
1 1 1 0 0 0 1 0 1 1 1 1 50007
1 0 1 1 1 0 1 1 1 1 0 0 50016
1 1 1 1 1 0 1 1 1 1 1 0 50018
0 1 1 1 1 0 1 0 0 0 1 0 50018
1 0 1 1 1 0 1 0 1 1 1 0 50037
1 1 1 0 0 0 1 0 1 1 1 0 50041
1 0 0 1 1 0 0 0 1 1 1 0 50053
1 0 1 1 1 0 1 0 1 1 1 0 50063
1 1 1 1 1 0 1 1 0 1 1 1 50069
1 0 1 1 1 1 1 0 1 1 1 1 50073
1 1 1 1 0 1 0 1 1 1 1 0 50084
1 0 1 1 1 0 0 0 1 1 1 1 50103
1 0 1 0 0 0 1 0 1 1 1 0 50106
1 0 1 0 1 0 1 0 1 1 1 0 50130
1 0 1 0 1 0 0 0 1 1 1 0 50131
1 0 0 1 1 1 1 1 1 1 1 0 50134
1 1 1 0 0 0 1 1 1 1 1 0 50166
1 0 1 1 1 0 1 1 1 1 1 1 50167
1 1 1 1 0 0 1 1 0 1 1 0 50168
1 1 0 0 1 0 1 1 1 1 1 0 50172
1 1 1 1 1 0 1 1 1 1 1 1 50195
1 0 1 1 1 1 1 1 0 1 0 0 50208
1 0 1 0 1 1 1 1 1 1 0 0 50243
1 0 1 1 1 0 1 1 1 0 1 1 50260
1 0 1 1 1 0 1 0 1 1 1 0 50263
1 0 1 1 1 0 0 0 1 0 1 0 50312
1 1 1 0 0 1 1 0 1 1 0 1 50370
1 0 1 1 0 0 1 0 1 1 0 0 50387
1 0 1 0 1 0 0 1 1 1 1 0 50388
1 1 0 1 0 1 1 0 1 0 1 1 50435
