x y
-3 -3
-2.97 -3
-2.94 -3
-2.91 -3
-2.88 -3
-2.85 -3
-2.82 -3
-2.79 -3
-2.76 -3
-2.73 -3
-2.7 -3
-2.67 -3
-2.64 -3
-2.61 -3
-2.58 -3
-2.55 -3
-2.52 -3
-2.49 -3
-2.46 -3
-2.43 -3
-2.4 -3
-2.37 -3
-2.34 -3
-2.31 -3
-2.28 -3
-2.25 -3
-2.22 -3
-2.19 -3
-2.16 -3
-2.13 -3
-2.1 -3
-2.07 -3
-2.04 -3
-2.01 -3
-1.98 -3
-1.95 -3
-1.92 -3
-1.89 -3
-1.86 -3
-1.83 -3
-1.8 -3
-1.77 -3
-1.74 -3
-1.71 -3
-1.68 -3
-1.65 -3
-1.62 -3
-1.59 -3
-1.56 -3
-1.53 -3
-1.5 -3
-1.47 -3
-1.44 -3
-1.41 -3
-1.38 -3
-1.35 -3
-1.32 -3
-1.29 -3
-1.26 -3
-1.23 -3
-1.2 -3
-1.17 -3
-1.14 -3
-1.11 -3
-1.08 -3
-1.05 -3
-1.02 -3
-0.99 -3
-0.96 -3
-0.93 -3
-0.9 -3
-0.87 -3
-0.84 -3
-0.81 -3
-0.78 -3
-0.75 -3
-0.72 -3
-0.69 -3
-0.66 -3
-0.63 -3
-0.6 -3
-0.57 -3
-0.54 -3
-0.51 -3
-0.48 -3
-0.45 -3
-0.42 -3
-0.39 -3
-0.36 -3
-0.33 -3
-0.3 -3
-0.27 -3
-0.24 -3
-0.21 -3
-0.18 -3
-0.15 -3
-0.12 -3
-0.0900000000000003 -3
-0.0600000000000001 -3
-0.0300000000000002 -3
0 -3
0.0299999999999998 -3
0.0600000000000001 -3
0.0899999999999999 -3
0.12 -3
0.15 -3
0.18 -3
0.21 -3
0.24 -3
0.27 -3
0.3 -3
0.33 -3
0.36 -3
0.39 -3
0.42 -3
0.45 -3
0.48 -3
0.51 -3
0.54 -3
0.57 -3
0.6 -3
0.63 -3
0.66 -3
0.69 -3
0.72 -3
0.75 -3
0.78 -3
0.81 -3
0.84 -3
0.87 -3
0.9 -3
0.93 -3
0.96 -3
0.99 -3
1.02 -3
1.05 -3
1.08 -3
1.11 -3
1.14 -3
1.17 -3
1.2 -3
1.23 -3
1.26 -3
1.29 -3
1.32 -3
1.35 -3
1.38 -3
1.41 -3
1.44 -3
1.47 -3
1.5 -3
1.53 -3
1.56 -3
1.59 -3
1.62 -3
1.65 -3
1.68 -3
1.71 -3
1.74 -3
1.77 -3
1.8 -3
1.83 -3
1.86 -3
1.89 -3
