Date	ca	fr	ge	it	jp	uk	us
2003/1/1	560.099	902.081	724.932	290.187	1593.175	791.076	824.583
2003/1/2	574.701	927.206	768.15	296.963	1578.214	797.813	852.219
2003/1/3	580.212	929.297	768.411	298.757	1578.411	800.175	851.935
2003/1/6	589.619	943.002	788.164	303.273	1619.7	803.966	871.515
2003/1/7	585.822	923.785	774.054	297.892	1590.951	793.625	865.992
2003/1/8	576.522	900.435	742.414	293.791	1564.566	783.566	853.401
2003/1/9	584.049	923.589	759.251	299.526	1569.706	789.255	869.893
2003/1/10	590.395	927.235	763.505	299.719	1565.966	798.244	870.275
2003/1/13	593.748	928.45	770.37	301.314	1573.799	792.042	869.034
2003/1/14	595.279	934.252	782.326	302.462	1599.104	793.344	874.638
2003/1/15	595.393	922.489	770.978	299.921	1619.822	779.75	861.946
2003/1/16	597.099	921.971	771.547	301.223	1620.413	779.596	858.343
2003/1/17	591.288	905.119	743.769	294.109	1627.923	772.871	846.057
2003/1/20	590.027	894.897	738.637	290.459	1607.091	760.017	846.057
2003/1/21	584.8	886.164	732.892	286.526	1622.186	752.112	833.025
2003/1/22	587.696	869.289	717.048	282.995	1608.26	742.283	824.615
2003/1/23	592.169	868.373	723.415	283.229	1643.821	735.885	833.194
2003/1/24	586.711	865.395	702.221	281.717	1629.401	735.892	808.82
2003/1/27	575.65	834.257	683.843	277.059	1592.634	711.505	795.459
2003/1/28	574.174	835.955	690.809	277.782	1580.393	716.291	805.931
2003/1/29	578.307	850.819	701.922	281.956	1557.454	718.871	811.521
2003/1/30	573.581	866.411	692.103	284.22	1543.313	737.556	792.925
2003/1/31	575.135	871.914	705.34	285.791	1528.492	734.775	803.601
2003/2/3	582.233	878.593	706.888	288.582	1549.967	756.252	807.778
2003/2/4	578.428	861.338	685.234	284.073	1567.614	739.922	796.194
2003/2/5	575.389	863.016	705.9	287.546	1569.649	756.82	791.849
2003/2/6	572.179	848.645	686.838	284.052	1560.523	737.688	786.882
2003/2/7	571.451	834.851	665.879	283.811	1552.521	734.229	778.848
2003/2/10	566.33	823.769	667.326	281.517	1547.428	729.434	784.78
2003/2/11	567.998	840.746	674.246	287.51	1542.648	742.009	778.138
2003/2/12	566.787	820.786	660.441	285.354	1569.867	730.818	767.906
2003/2/13	569.289	823.643	662.117	287.21	1568.992	731.746	766.601
2003/2/14	572.674	842.098	689.257	290.096	1580.428	728.121	782.949
2003/2/17	579.967	854.688	693.658	291.235	1589.858	738.21	782.949
2003/2/18	583.739	869.782	698.886	293.875	1593.498	741.799	798.812
2003/2/19	581.868	850.946	673.969	289.396	1594.08	729.364	793.311
2003/2/20	585.721	842.477	671.118	290.668	1591.286	734.61	785.739
2003/2/21	585.854	850.484	684.745	296.05	1569.057	741.269	796.166
2003/2/24	584.578	836.269	662.797	294.554	1583.215	733.381	781.697
2003/2/25	585.373	804.389	640.039	286.769	1550.984	711.758	787.162
