d1 d2 d3 d4 d5 d6 d7 d8 d9 d10 d11 d12 click
0 1 1 1 0 1 0 1 0 1 0 1 175
0 1 1 0 0 0 0 1 0 0 0 0 350
1 1 1 0 1 0 1 1 0 1 1 0 675
0 1 0 1 1 0 1 1 0 0 1 0 250
0 1 0 1 1 1 1 1 0 1 1 1 275
0 1 1 0 0 0 1 0 1 0 1 0 300
0 1 0 0 1 1 0 1 0 0 0 0 325
0 1 0 1 1 0 1 1 0 0 1 0 350
0 1 1 0 1 1 0 1 0 1 1 1 225
0 1 0 1 1 1 0 1 1 1 1 1 250
0 1 1 1 1 0 1 1 0 0 0 0 575
0 1 1 1 0 0 1 1 0 0 1 0 450
0 1 0 1 1 1 1 1 0 1 0 0 325
0 1 0 1 1 0 0 0 1 0 1 0 350
1 1 0 1 1 0 1 1 0 0 1 0 375
1 1 0 0 1 0 1 0 0 1 1 1 700
0 1 1 1 1 0 1 1 1 0 1 0 425
0 1 0 0 0 0 0 1 0 1 1 0 600
0 1 1 1 1 1 0 1 0 1 0 1 625
0 1 1 1 0 0 1 1 0 0 0 0 650
0 1 1 1 1 1 1 0 0 1 1 1 525
1 1 0 0 1 0 1 1 0 0 0 1 700
0 1 0 0 1 1 1 1 0 1 1 1 725
0 1 1 0 1 1 0 1 0 1 1 1 600
0 0 0 1 1 0 1 1 0 1 0 1 625
1 1 0 1 1 0 0 1 0 1 0 0 800
0 1 1 1 1 1 1 1 1 0 1 1 675
1 1 1 1 1 0 0 1 0 0 0 0 1450
0 1 1 1 1 0 0 1 0 0 0 0 725
0 1 1 0 0 0 0 1 0 0 1 1 900
0 1 1 1 0 0 1 0 1 0 1 0 1675
0 1 1 1 1 1 1 0 0 1 0 1 950
1 1 0 0 1 0 0 1 0 0 1 1 975
0 1 0 0 1 1 1 1 1 0 0 0 1600
1 1 0 1 1 0 1 1 0 0 0 0 1175
1 0 1 0 1 0 1 0 1 1 1 0 1050
1 1 1 1 0 0 1 0 1 1 1 0 1075
1 0 1 1 1 0 1 1 1 1 1 1 1100
1 0 0 0 0 0 1 1 1 0 1 1 1125
1 1 1 1 1 0 1 0 1 1 1 0 1000
1 1 1 0 0 0 1 0 1 1 1 1 1025
1 0 1 1 1 0 1 1 1 1 0 0 1200
1 1 1 1 1 0 1 1 1 1 1 0 1075
0 1 1 1 1 0 1 0 0 0 1 0 1550
1 0 1 1 1 0 1 0 1 1 1 0 1575
1 1 1 0 0 0 1 0 1 1 1 0 1300
1 0 0 1 1 0 0 0 1 1 1 0 1325
1 0 1 1 1 0 1 0 1 1 1 0 1200
1 1 1 1 1 0 1 1 0 1 1 1 1225
1 0 1 1 1 1 1 0 1 1 1 1 1400
1 1 1 1 0 1 0 1 1 1 1 0 1575
1 0 1 1 1 0 0 0 1 1 1 1 1450
1 0 1 0 0 0 1 0 1 1 1 0 1325
1 0 1 0 1 0 1 0 1 1 1 0 1500
1 0 1 0 1 0 0 0 1 1 1 0 1375
1 0 0 1 1 1 1 1 1 1 1 0 1700
1 1 1 0 0 0 1 1 1 1 1 0 1575
1 0 1 1 1 0 1 1 1 1 1 1 1600
1 1 1 1 0 0 1 1 0 1 1 0 1625
1 1 0 0 1 0 1 1 1 1 1 0 1800
1 1 1 1 1 0 1 1 1 1 1 1 1525
1 0 1 1 1 1 1 1 0 1 0 0 1850
1 0 1 0 1 1 1 1 1 1 0 0 1875
1 0 1 1 1 0 1 1 1 0 1 1 1750
1 0 1 1 1 0 1 0 1 1 1 0 1775
1 0 1 1 1 0 0 0 1 0 1 0 1650
1 1 1 0 0 1 1 0 1 1 0 1 1975
1 0 1 1 0 0 1 0 1 1 0 0 1850
1 0 1 0 1 0 0 1 1 1 1 0 2325
1 1 0 1 0 1 1 0 1 0 1 1 2050
